"fetched_at_utc","station_id","name","lat","lon","capacity","address","post_code","region_id"
"2026-09-20T15:40:54","PIB:Station:1847","UPZ - Bern",46.965282,7.481025,50,"Bolligenstrasse 111","3072","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1848","Libellenweg - Bern",46.95453,7.4742894,50,"Libellenweg 26","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1849","Lorrainebrücke - Bern",46.95434,7.4453483,50,"Lorrainestrasse 1","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1850","Dammweg TX Group AG - Bern",46.955917,7.4467797,50,"Dammweg 1","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1851","Quartiergasse - Bern",46.95801,7.4449573,50,"Quartiergasse 29","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1852","Römerweg - Bern",46.958252,7.4475737,50,"Turnweg 19","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1853","SBB Wylerpark - Bern",46.96131,7.4466596,50,"Wylerstrasse 115","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1854","Wyleregg - Bern",46.960354,7.448583,50,"Wylerstrasse 34","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1855","Wylerbad - Bern",46.96503,7.4514623,50,"Scheibenstrasse 65c","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1856","Breitfeld - Bern",46.961964,7.4529624,50,"Weingartstrasse 59","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1857","Markuskirche - Bern",46.96351,7.4555163,50,"Winkelriedstrasse 56","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1858","Wankdorffeldstrasse - Bern",46.965027,7.4589906,50,"Wankdorffeldstrasse 97","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1859","Kursaal - Bern",46.952526,7.4498353,50,"Sonnenbergstrasse 21a","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1860","Viktoriaplatz - Bern",46.955166,7.4518366,50,"Beundenfeldstrasse 2","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1861","Schule Spitalacker - Bern",46.95583,7.452994,50,"Beundenfeldstrasse 13","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1862","Breitenrainstrasse  - Bern",46.957348,7.4514375,50,"Spitalackerstrasse 74","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1863","Breitenrainplatz - Bern",46.95793,7.45376,50,"Moserstrasse 33","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1864","Allmendstrasse - Bern",46.959347,7.4518027,50,"Allmendstrasse 22","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1865","Stauffacherplatz - Bern",46.960117,7.454339,50,"Scheibenstrasse 13","3014","PIB:Region:41"
